Symbol,Name,Market Cap,Country,Volume,Sector,Industry,,,,,,,,,Symbol,Sector,
AACG,ATA Creativity Global American Depositary Shares,70598070,China,18773,Miscellaneous,Service to the Health Industry,,,,3610,,,,,AACG,Miscellaneous,4656
AACIU,Armada Acquisition Corp. I Unit,0,United States,3,,,,,,,,Sector,,,AACIU,,
AADI,Aadi Bioscience Inc. Common Stock,570985170,United States,65563,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,Miscellaneous,,,AADI,Health Care,
AAL,American Airlines Group Inc. Common Stock,12425803677,United States,26407273,Transportation,Air Freight/Delivery Services,,,,,,0,,,AAL,Transportation,
AAME,Atlantic American Corporation Common Stock,83888236,United States,9446,Finance,Life Insurance,,,,,,Health Care,,,AAME,Finance,
AAOI,Applied Optoelectronics Inc. Common Stock,207902879,United States,380369,Technology,Semiconductors,,,,,,Transportation,,,AAOI,Technology,
AAON,AAON Inc. Common Stock,3747914984,United States,76542,Capital Goods,Industrial Machinery/Components,,,,,,Finance,,,AAON,Capital Goods,
AAPL,Apple Inc. Common Stock,2.65E+12,United States,99259809,Technology,Computer Manufacturing,,,,,,Technology,,,AAPL,Technology,
AATC,Autoscope Technologies Corporation Common Stock,36228506,United States,20521,Capital Goods,Industrial Machinery/Components,,,,,,Capital Goods,,,AATC,Capital Goods,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,2359432983,United States,233050,Transportation,Transportation Services,,,,,,Consumer Durables,,,AAWW,Transportation,
ABCB,Ameris Bancorp Common Stock,3742967092,United States,253780,Finance,Major Banks,,,,,,Basic Industries,,,ABCB,Finance,
ABCL,AbCellera Biologics Inc. Common Shares,4436965833,Canada,1239166,,,,,,,,Consumer Services,,,ABCL,,
ABCM,Abcam plc American Depositary Shares,5268132270,United Kingdom,25358,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),,,,,,Public Utilities,,,ABCM,Health Care,
ABEO,Abeona Therapeutics Inc. Common Stock,82004004,United States,1529708,Health Care,Biotechnology: Pharmaceutical Preparations,,,,,,Energy,,,ABEO,Health Care,
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,189072339,United States,1553,Finance,Business Services,,,,,,Consumer Non-Durables,,,ABGI,Finance,
ABIO,ARCA biopharma Inc. Common Stock,37754575,United States,5705878,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,,,,,,,,,ABIO,Health Care,
