,Symbol,Sector
0,NTIC,Basic Industries
1,PLPC,Basic Industries
2,PLL,Basic Industries
3,ADES,Basic Industries
4,IOSP,Basic Industries
5,OCC,Basic Industries
6,HWKN,Basic Industries
7,GPRE,Basic Industries
8,CVCO,Basic Industries
9,IEA,Basic Industries
10,CSWI,Basic Industries
11,AMRS,Basic Industries
12,XELB,Basic Industries
13,ZEUS,Basic Industries
14,WIRE,Basic Industries
15,GURE,Basic Industries
16,USAU,Basic Industries
17,TANH,Basic Industries
18,RKDA,Basic Industries
19,USAP,Basic Industries
20,STLD,Basic Industries
21,SLGL,Basic Industries
22,BIOX,Basic Industries
23,BRCN,Basic Industries
24,PRIM,Basic Industries
25,SWIR,Basic Industries
26,SNES,Basic Industries
27,ALTO,Basic Industries
28,MERC,Basic Industries
29,NWPX,Basic Industries
30,CHNR,Basic Industries
31,GSM,Basic Industries
32,FSTR,Basic Industries
33,KALU,Basic Industries
34,REGI,Basic Industries
35,SGBX,Basic Industries
36,SCHN,Basic Industries
37,HDSN,Basic Industries
38,SYNL,Basic Industries
39,HURC,Basic Industries
40,CENX,Basic Industries
41,MBII,Basic Industries
42,MYRG,Basic Industries
43,BCPC,Basic Industries
44,CRWS,Basic Industries
45,APWC,Basic Industries
46,UFPI,Basic Industries
47,WDFC,Basic Industries
48,EVGN,Basic Industries
