,Symbol,Sector
0,GAIA,Capital Goods
1,PCAR,Capital Goods
2,MPAA,Capital Goods
3,RUN,Capital Goods
4,KEQU,Capital Goods
5,HBIO,Capital Goods
6,PWFL,Capital Goods
7,ARTW,Capital Goods
8,BLBD,Capital Goods
9,LTRX,Capital Goods
10,SHYF,Capital Goods
11,ESLT,Capital Goods
12,KOPN,Capital Goods
13,AIMC,Capital Goods
14,ITI,Capital Goods
15,SUMR,Capital Goods
16,RFIL,Capital Goods
17,LGIH,Capital Goods
18,UFPT,Capital Goods
19,HOLI,Capital Goods
20,STRT,Capital Goods
21,CECE,Capital Goods
22,VISL,Capital Goods
23,FFHL,Capital Goods
24,AVAV,Capital Goods
25,THMO,Capital Goods
26,HOVNP,Capital Goods
27,TESS,Capital Goods
28,ROLL,Capital Goods
29,WLFC,Capital Goods
30,AMAT,Capital Goods
31,PFIN,Capital Goods
32,FCUV,Capital Goods
33,NISN,Capital Goods
34,POWW,Capital Goods
35,VTSI,Capital Goods
36,KLAC,Capital Goods
37,LIQT,Capital Goods
38,CMCO,Capital Goods
39,BNSO,Capital Goods
40,CSTE,Capital Goods
41,DAIO,Capital Goods
42,VICR,Capital Goods
43,GENC,Capital Goods
44,HAIN,Capital Goods
45,INSG,Capital Goods
46,ELSE,Capital Goods
47,KNDI,Capital Goods
48,ISSC,Capital Goods
49,FEIM,Capital Goods
50,LECO,Capital Goods
51,AMSC,Capital Goods
52,ADTN,Capital Goods
53,OFLX,Capital Goods
54,ASTC,Capital Goods
55,TAYD,Capital Goods
56,TATT,Capital Goods
57,TER,Capital Goods
58,QRVO,Capital Goods
59,GEOS,Capital Goods
60,HBP,Capital Goods
61,LPTH,Capital Goods
62,ENPH,Capital Goods
63,NVMI,Capital Goods
64,SYPR,Capital Goods
65,AEHR,Capital Goods
66,FLUX,Capital Goods
67,AEY,Capital Goods
68,CYBE,Capital Goods
69,HTGM,Capital Goods
70,MLAB,Capital Goods
71,THRY,Capital Goods
72,OSAT,Capital Goods
73,GRBK,Capital Goods
74,GNSS,Capital Goods
75,BECN,Capital Goods
76,RAIL,Capital Goods
77,DORM,Capital Goods
78,WKSP,Capital Goods
79,LIVE,Capital Goods
80,WPRT,Capital Goods
81,REFR,Capital Goods
82,IIVI,Capital Goods
83,ASTE,Capital Goods
84,SNT,Capital Goods
85,THRM,Capital Goods
86,VC,Capital Goods
87,NEON,Capital Goods
88,VEV,Capital Goods
89,BOXL,Capital Goods
90,TGLS,Capital Goods
91,DAKT,Capital Goods
92,VJET,Capital Goods
93,WWD,Capital Goods
94,MINDP,Capital Goods
95,TRMB,Capital Goods
96,CVGI,Capital Goods
97,TWIN,Capital Goods
98,AXDX,Capital Goods
99,ATRO,Capital Goods
100,LAWS,Capital Goods
101,MIDD,Capital Goods
102,COHR,Capital Goods
103,DXPE,Capital Goods
104,PRPO,Capital Goods
105,NDSN,Capital Goods
106,UTSI,Capital Goods
107,MVIS,Capital Goods
108,EXTR,Capital Goods
109,AMPG,Capital Goods
110,AEHL,Capital Goods
111,COHU,Capital Goods
112,CODA,Capital Goods
113,SOLO,Capital Goods
114,MKSI,Capital Goods
115,IPWR,Capital Goods
116,FARO,Capital Goods
117,BWEN,Capital Goods
118,WKHS,Capital Goods
119,KRNT,Capital Goods
120,HON,Capital Goods
121,GLDD,Capital Goods
122,CBAT,Capital Goods
123,SOTK,Capital Goods
124,FTEK,Capital Goods
125,GRMN,Capital Goods
126,HIHO,Capital Goods
127,LINK,Capital Goods
128,ZKIN,Capital Goods
129,BRKR,Capital Goods
130,MIND,Capital Goods
131,BHTG,Capital Goods
132,AVNW,Capital Goods
133,STRL,Capital Goods
134,SMID,Capital Goods
135,RETO,Capital Goods
136,AATC,Capital Goods
137,OSIS,Capital Goods
138,CGNX,Capital Goods
139,ALPP,Capital Goods
140,ITRI,Capital Goods
141,BELFA,Capital Goods
142,EML,Capital Goods
143,CAAS,Capital Goods
144,QRHC,Capital Goods
145,KE,Capital Goods
146,VUZI,Capital Goods
147,GNTX,Capital Goods
148,LKQ,Capital Goods
149,BELFB,Capital Goods
150,POLA,Capital Goods
151,SMIT,Capital Goods
152,AMOT,Capital Goods
153,AAON,Capital Goods
154,CAMT,Capital Goods
155,RMBL,Capital Goods
156,PKOH,Capital Goods
157,FLDM,Capital Goods
158,HLIO,Capital Goods
159,PACB,Capital Goods
160,IESC,Capital Goods
161,TSLA,Capital Goods
162,QIPT,Capital Goods
163,WATT,Capital Goods
164,NSYS,Capital Goods
