,Symbol,Sector
0,HRTX,Consumer Durables
1,NVFY,Consumer Durables
2,CJJD,Consumer Durables
3,KBAL,Consumer Durables
4,LYTS,Consumer Durables
5,FELE,Consumer Durables
6,MTEX,Consumer Durables
7,EOLS,Consumer Durables
8,AEIS,Consumer Durables
9,OESX,Consumer Durables
10,PPSI,Consumer Durables
11,DOGZ,Consumer Durables
12,BSET,Consumer Durables
13,MDWD,Consumer Durables
14,SMMT,Consumer Durables
15,LCUT,Consumer Durables
16,ACRX,Consumer Durables
17,PRPL,Consumer Durables
18,MNTX,Consumer Durables
19,CDXC,Consumer Durables
20,PLUG,Consumer Durables
21,FLXS,Consumer Durables
22,AIKI,Consumer Durables
23,SLGN,Consumer Durables
24,CLWT,Consumer Durables
25,HOFT,Consumer Durables
26,POWL,Consumer Durables
27,EFOI,Consumer Durables
28,AMWD,Consumer Durables
29,ATXI,Consumer Durables
30,GT,Consumer Durables
31,SISI,Consumer Durables
32,PTE,Consumer Durables
33,VIRC,Consumer Durables
34,SNBR,Consumer Durables
35,VTRS,Consumer Durables
36,DXYN,Consumer Durables
