,Symbol,Sector
0,LWAY,Consumer Non-Durables
1,RMCF,Consumer Non-Durables
2,BRID,Consumer Non-Durables
3,CHSCL,Consumer Non-Durables
4,CHSCM,Consumer Non-Durables
5,JBSS,Consumer Non-Durables
6,FNKO,Consumer Non-Durables
7,SWBI,Consumer Non-Durables
8,SMPL,Consumer Non-Durables
9,CHSCO,Consumer Non-Durables
10,SFM,Consumer Non-Durables
11,CROX,Consumer Non-Durables
12,CHSCN,Consumer Non-Durables
13,MNST,Consumer Non-Durables
14,WVVI,Consumer Non-Durables
15,LFVN,Consumer Non-Durables
16,WILC,Consumer Non-Durables
17,HEAR,Consumer Non-Durables
18,SHOO,Consumer Non-Durables
19,EVK,Consumer Non-Durables
20,RIBT,Consumer Non-Durables
21,CELH,Consumer Non-Durables
22,KOSS,Consumer Non-Durables
23,NAII,Consumer Non-Durables
24,CCEP,Consumer Non-Durables
25,KDP,Consumer Non-Durables
26,LNDC,Consumer Non-Durables
27,CXDC,Consumer Non-Durables
28,CLXT,Consumer Non-Durables
29,CYAN,Consumer Non-Durables
30,PPC,Consumer Non-Durables
31,JVA,Consumer Non-Durables
32,IPAR,Consumer Non-Durables
33,FUV,Consumer Non-Durables
34,LLL,Consumer Non-Durables
35,MDLZ,Consumer Non-Durables
36,VOXX,Consumer Non-Durables
37,FOSL,Consumer Non-Durables
38,KHC,Consumer Non-Durables
39,IMTE,Consumer Non-Durables
40,UEIC,Consumer Non-Durables
41,CLAR,Consumer Non-Durables
42,PEP,Consumer Non-Durables
43,COKE,Consumer Non-Durables
44,JAKK,Consumer Non-Durables
45,KTOS,Consumer Non-Durables
46,REED,Consumer Non-Durables
47,BYRN,Consumer Non-Durables
48,CTHR,Consumer Non-Durables
49,WVVIP,Consumer Non-Durables
50,RCKY,Consumer Non-Durables
51,NBEV,Consumer Non-Durables
52,WTER,Consumer Non-Durables
53,NWL,Consumer Non-Durables
54,SPTN,Consumer Non-Durables
55,DSWL,Consumer Non-Durables
56,KAVL,Consumer Non-Durables
57,UG,Consumer Non-Durables
58,LANC,Consumer Non-Durables
59,FARM,Consumer Non-Durables
60,VRA,Consumer Non-Durables
61,MBUU,Consumer Non-Durables
62,HAS,Consumer Non-Durables
63,MCFT,Consumer Non-Durables
64,WEYS,Consumer Non-Durables
65,CHEF,Consumer Non-Durables
66,EAST,Consumer Non-Durables
67,FOXF,Consumer Non-Durables
68,FAMI,Consumer Non-Durables
69,JJSF,Consumer Non-Durables
70,CHSCP,Consumer Non-Durables
71,TWNK,Consumer Non-Durables
72,COLM,Consumer Non-Durables
73,JOUT,Consumer Non-Durables
74,ESCA,Consumer Non-Durables
75,POOL,Consumer Non-Durables
76,SENEA,Consumer Non-Durables
77,LWLG,Consumer Non-Durables
78,PETZ,Consumer Non-Durables
79,FIZZ,Consumer Non-Durables
80,AXON,Consumer Non-Durables
81,MAT,Consumer Non-Durables
82,ANDE,Consumer Non-Durables
83,SENEB,Consumer Non-Durables
