,Symbol,Sector
0,ELYS,Consumer Services
1,ICFI,Consumer Services
2,CONN,Consumer Services
3,WLDN,Consumer Services
4,HIBB,Consumer Services
5,MINM,Consumer Services
6,TTSH,Consumer Services
7,MELI,Consumer Services
8,AMCX,Consumer Services
9,BATRK,Consumer Services
10,GIII,Consumer Services
11,STRS,Consumer Services
12,CBRL,Consumer Services
13,URBN,Consumer Services
14,DHCNI,Consumer Services
15,AGNC,Consumer Services
16,NDLS,Consumer Services
17,RCMT,Consumer Services
18,JACK,Consumer Services
19,IFMK,Consumer Services
20,LEE,Consumer Services
21,EBAY,Consumer Services
22,GTIM,Consumer Services
23,PENN,Consumer Services
24,HUSN,Consumer Services
25,STKS,Consumer Services
26,DENN,Consumer Services
27,CRTD,Consumer Services
28,AMZN,Consumer Services
29,NXST,Consumer Services
30,NVEE,Consumer Services
31,COMS,Consumer Services
32,BBBY,Consumer Services
33,BLMN,Consumer Services
34,INTG,Consumer Services
35,LBRDA,Consumer Services
36,CRMT,Consumer Services
37,IRDM,Consumer Services
38,CMCSA,Consumer Services
39,HURN,Consumer Services
40,CSSE,Consumer Services
41,FPAY,Consumer Services
42,DISCK,Consumer Services
43,FIVE,Consumer Services
44,BGFV,Consumer Services
45,DXLG,Consumer Services
46,PECO,Consumer Services
47,CHDN,Consumer Services
48,TAST,Consumer Services
49,SOHOO,Consumer Services
50,NYMT,Consumer Services
51,LMRK,Consumer Services
52,SOHO,Consumer Services
53,GNUS,Consumer Services
54,FLNT,Consumer Services
55,FWONK,Consumer Services
56,CHTR,Consumer Services
57,DLTH,Consumer Services
58,WHLRP,Consumer Services
59,DISH,Consumer Services
60,ATEX,Consumer Services
61,LOAN,Consumer Services
62,LMRKP,Consumer Services
63,FRGI,Consumer Services
64,SBGI,Consumer Services
65,LBTYK,Consumer Services
66,SVC,Consumer Services
67,WHLRD,Consumer Services
68,NYMTP,Consumer Services
69,EQIX,Consumer Services
70,MLCO,Consumer Services
71,SALM,Consumer Services
72,MCRI,Consumer Services
73,NXTD,Consumer Services
74,MARK,Consumer Services
