,Symbol,Sector
0,DWSN,Energy
1,CDEV,Energy
2,BKEP,Energy
3,ARLP,Energy
4,MMLP,Energy
5,ROCC,Energy
6,ZEST,Energy
7,RCON,Energy
8,TUSK,Energy
9,NEXT,Energy
10,CLMT,Energy
11,VTNR,Energy
12,SND,Energy
13,PAGP,Energy
14,TH,Energy
15,USWS,Energy
16,APA,Energy
17,USLM,Energy
18,TELL,Energy
19,BKEPP,Energy
20,PDCE,Energy
21,PTEN,Energy
22,MARPS,Energy
23,PAA,Energy
24,OMP,Energy
25,AMTX,Energy
26,DMLP,Energy
27,FANG,Energy
28,PNRG,Energy
29,GLNG,Energy
30,GIFI,Energy
31,PFIE,Energy
32,VNOM,Energy
33,HNRG,Energy
34,CCLP,Energy
35,NCSM,Energy
36,USEG,Energy
37,METC,Energy
