,Symbol,Sector
0,CSGP,Finance
1,BRKL,Finance
2,CGBD,Finance
3,JSM,Finance
4,CNFR,Finance
5,WABC,Finance
6,NKSH,Finance
7,FMAO,Finance
8,ATLC,Finance
9,BPOPN,Finance
10,FFIN,Finance
11,CBSH,Finance
12,ONB,Finance
13,SFNC,Finance
14,ESBK,Finance
15,FGBI,Finance
16,FNHC,Finance
17,PEBO,Finance
18,HGBL,Finance
19,CATY,Finance
20,NMRK,Finance
21,TIPT,Finance
22,DCOM,Finance
23,ALRS,Finance
24,UBFO,Finance
25,OBT,Finance
26,GLAD,Finance
27,FGF,Finance
28,STFC,Finance
29,RILY,Finance
30,EQBK,Finance
31,HMNF,Finance
32,MNSB,Finance
33,IBTX,Finance
34,CIZN,Finance
35,CAC,Finance
36,NESR,Finance
37,RNDB,Finance
38,BPOPM,Finance
39,FMNB,Finance
40,SLMBP,Finance
41,ASRV,Finance
42,CRVL,Finance
43,FITBI,Finance
44,IBCP,Finance
45,HONE,Finance
46,SFBC,Finance
47,LKFN,Finance
48,BPRN,Finance
49,OPBK,Finance
50,CFFN,Finance
51,ISTR,Finance
52,COWN,Finance
53,CZNC,Finance
54,TREE,Finance
55,MCBC,Finance
56,FRBA,Finance
57,BFC,Finance
58,CCNE,Finance
59,FBIZ,Finance
60,LPRO,Finance
61,SYBT,Finance
62,WSFS,Finance
63,GBLI,Finance
64,GLBZ,Finance
65,ESXB,Finance
66,FCCY,Finance
67,CRESY,Finance
68,INBK,Finance
69,ZIONL,Finance
70,NBTB,Finance
71,FCAP,Finance
72,SSBI,Finance
73,TCFC,Finance
74,CME,Finance
75,FCCO,Finance
76,JRVR,Finance
77,SHBI,Finance
78,RBCAA,Finance
79,VLY,Finance
80,WHF,Finance
81,SEIC,Finance
82,SBCF,Finance
83,NFBK,Finance
84,TBBK,Finance
85,CCBG,Finance
86,FLIC,Finance
87,CACC,Finance
88,CVCY,Finance
89,CFFI,Finance
90,PEBK,Finance
91,QCRH,Finance
92,PROV,Finance
93,WRLD,Finance
94,HVBC,Finance
95,FVCB,Finance
96,FANH,Finance
97,OXBR,Finance
98,IBOC,Finance
99,FGFPP,Finance
100,MRBK,Finance
101,VLYPP,Finance
102,NWLI,Finance
103,UBSI,Finance
104,ZIONO,Finance
105,ACNB,Finance
106,AUB,Finance
107,PVBC,Finance
108,PTMN,Finance
109,OFED,Finance
110,PAYS,Finance
111,PSEC,Finance
112,NDAQ,Finance
113,COLB,Finance
114,TBNK,Finance
115,RBB,Finance
116,CTBI,Finance
117,WLTW,Finance
118,ABCB,Finance
119,CASH,Finance
120,TRMK,Finance
121,BYFC,Finance
122,CHMG,Finance
123,CSTR,Finance
124,PFX,Finance
125,SNEX,Finance
126,ESGR,Finance
127,SSSS,Finance
128,NWFL,Finance
129,GLRE,Finance
130,SMMF,Finance
131,PCSB,Finance
132,ESSA,Finance
133,VBFC,Finance
134,CBAN,Finance
135,CG,Finance
136,WASH,Finance
137,CBTX,Finance
138,CSQ,Finance
139,BOTJ,Finance
140,KRNY,Finance
141,TURN,Finance
142,HBMD,Finance
143,FNWB,Finance
144,HLNE,Finance
145,GFED,Finance
146,UFCS,Finance
147,TROW,Finance
148,VABK,Finance
149,ORRF,Finance
150,CHCO,Finance
151,HAFC,Finance
152,GGAL,Finance
153,SLM,Finance
154,CHY,Finance
155,SMBK,Finance
156,TSCAP,Finance
157,HFBL,Finance
158,COFS,Finance
159,VCTR,Finance
160,MHLD,Finance
161,BPOP,Finance
162,FUNC,Finance
163,UNB,Finance
164,LBC,Finance
165,PNNT,Finance
166,GABC,Finance
167,SBSI,Finance
168,UVSP,Finance
169,PBCTP,Finance
170,BTCS,Finance
171,LX,Finance
172,GECC,Finance
173,AMSF,Finance
174,OCSL,Finance
175,FCRD,Finance
176,MPB,Finance
177,WVFC,Finance
178,WMPN,Finance
179,TCBI,Finance
180,ACGL,Finance
181,BFIN,Finance
182,SBT,Finance
183,HWC,Finance
184,CPSS,Finance
185,PFLT,Finance
186,CLBK,Finance
187,FFWM,Finance
188,HOPE,Finance
189,CPTAG,Finance
190,PLBC,Finance
191,ESQ,Finance
192,NSEC,Finance
193,LYL,Finance
194,SLRC,Finance
195,PWOD,Finance
196,AUBN,Finance
197,FUND,Finance
198,HNNA,Finance
199,BKCC,Finance
200,NAVI,Finance
201,BTBT,Finance
202,BFST,Finance
203,BANX,Finance
204,SAL,Finance
205,CHI,Finance
206,TCBK,Finance
207,FSBW,Finance
208,FDUS,Finance
209,WTFC,Finance
210,GBDC,Finance
211,UBCP,Finance
212,FNCB,Finance
213,MOFG,Finance
214,ANAT,Finance
215,ABTX,Finance
216,GCBC,Finance
217,QQQX,Finance
218,FRHC,Finance
219,LOB,Finance
220,FBMS,Finance
221,FISI,Finance
222,MSBI,Finance
223,HBCP,Finance
224,SBFG,Finance
225,CARE,Finance
226,ICBK,Finance
227,FRPH,Finance
228,TSC,Finance
229,UNTY,Finance
230,BCOR,Finance
231,KFFB,Finance
232,CULL,Finance
233,SFST,Finance
234,BSRR,Finance
235,OCFC,Finance
236,UBOH,Finance
237,BCML,Finance
238,IBKR,Finance
239,FFNW,Finance
240,IROQ,Finance
241,VRTS,Finance
242,FFBC,Finance
243,DGICB,Finance
244,PGC,Finance
245,PFG,Finance
246,ZION,Finance
247,MARA,Finance
248,HBAN,Finance
249,EGBN,Finance
250,SIVB,Finance
251,BUSE,Finance
252,FULT,Finance
253,HBNC,Finance
254,AIHS,Finance
255,FNLC,Finance
256,OPHC,Finance
257,MSVB,Finance
258,RVSB,Finance
259,CSWC,Finance
260,WSBC,Finance
261,MLVF,Finance
262,THFF,Finance
263,MBWM,Finance
264,FDBC,Finance
265,STBA,Finance
266,BMTC,Finance
267,SMBC,Finance
268,UNAM,Finance
269,OSBC,Finance
270,GROW,Finance
271,NECB,Finance
272,FFBW,Finance
273,CNOB,Finance
274,DGICA,Finance
275,BANFP,Finance
276,UMPQ,Finance
277,KINS,Finance
278,BWFG,Finance
279,FBNC,Finance
280,NCBS,Finance
281,KNSL,Finance
282,ICMB,Finance
283,HMST,Finance
284,AMRK,Finance
285,CWBC,Finance
286,OFS,Finance
287,WSBF,Finance
288,CNNB,Finance
289,LCNB,Finance
290,EMCF,Finance
291,CUBA,Finance
292,BANR,Finance
293,SVVC,Finance
294,PTRS,Finance
295,NEWT,Finance
296,TFSL,Finance
297,HFWA,Finance
298,RBNC,Finance
299,FRST,Finance
300,SWKH,Finance
301,HWBK,Finance
302,ICCH,Finance
303,BGCP,Finance
304,SRCE,Finance
305,CFBK,Finance
306,PBCT,Finance
307,PFC,Finance
308,BCBP,Finance
309,CPTAL,Finance
310,EFSC,Finance
311,SAMG,Finance
312,MBCN,Finance
313,UIHC,Finance
314,PFBC,Finance
315,WAFD,Finance
316,GWGH,Finance
317,OXSQ,Finance
318,JRJC,Finance
319,INDT,Finance
320,BANF,Finance
321,CGO,Finance
322,INDB,Finance
323,CHW,Finance
324,TOWN,Finance
325,OXLCM,Finance
326,VINO,Finance
327,SNFCA,Finance
328,HIFS,Finance
329,WTFCM,Finance
330,NBN,Finance
331,BWB,Finance
332,CARV,Finance
333,PNBK,Finance
334,LPLA,Finance
335,ARCC,Finance
336,AROW,Finance
337,ISBC,Finance
338,DHIL,Finance
339,CVBF,Finance
340,HOMB,Finance
341,GBCI,Finance
342,NRIM,Finance
343,LARK,Finance
344,RELI,Finance
345,MRCC,Finance
346,CBFV,Finance
347,BMRC,Finance
348,HTLF,Finance
349,LMST,Finance
350,FSFG,Finance
351,OXLC,Finance
352,FHB,Finance
353,MFIN,Finance
354,ERIE,Finance
355,SIEB,Finance
356,PBHC,Finance
357,ITIC,Finance
358,PBIP,Finance
359,OPOF,Finance
360,NMIH,Finance
361,LBAI,Finance
362,RAND,Finance
363,SBNY,Finance
364,BHF,Finance
365,FITB,Finance
366,PPBI,Finance
367,PNFP,Finance
368,WNEB,Finance
369,HRZN,Finance
370,CZWI,Finance
371,FUSB,Finance
372,PKBK,Finance
373,CVLY,Finance
374,GNTY,Finance
375,RNST,Finance
376,OVLY,Finance
377,TCPC,Finance
378,FMBI,Finance
379,MRLN,Finance
380,SASR,Finance
381,TBK,Finance
382,FMBH,Finance
383,ATAX,Finance
384,AMNB,Finance
385,VBTX,Finance
386,LMFA,Finance
387,CALB,Finance
388,SIGI,Finance
389,BKSC,Finance
390,ACGLO,Finance
391,EBTC,Finance
392,SUNS,Finance
393,GAIN,Finance
394,FCNCA,Finance
395,EHTH,Finance
396,ASPS,Finance
397,FCBC,Finance
398,HTBK,Finance
399,PFIS,Finance
400,PACW,Finance
401,NWBI,Finance
402,PMTS,Finance
403,MGYR,Finance
404,CINF,Finance
405,MKTX,Finance
406,NODK,Finance
407,FRBK,Finance
408,RMR,Finance
409,CATC,Finance
410,NTRS,Finance
411,WETF,Finance
412,AINV,Finance
413,GSBC,Finance
414,MVBF,Finance
415,NMFC,Finance
416,FIBK,Finance
417,SAFT,Finance
418,FXNC,Finance
419,OVBC,Finance
420,FFIC,Finance
