,Symbol,Sector
0,IDCC,Public Utilities
1,VOD,Public Utilities
2,PTNR,Public Utilities
3,CLFD,Public Utilities
4,ATNI,Public Utilities
5,RGCO,Public Utilities
6,EXC,Public Utilities
7,MSEX,Public Utilities
8,AKTS,Public Utilities
9,OTTR,Public Utilities
10,CWST,Public Utilities
11,HCCI,Public Utilities
12,TIGO,Public Utilities
13,AY,Public Utilities
14,VG,Public Utilities
15,GWRS,Public Utilities
16,LNT,Public Utilities
17,ALLT,Public Utilities
18,SPOK,Public Utilities
19,XEL,Public Utilities
20,JCS,Public Utilities
21,FCEL,Public Utilities
22,SHEN,Public Utilities
23,CWCO,Public Utilities
24,VIA,Public Utilities
25,YORW,Public Utilities
26,NWE,Public Utilities
27,SRCL,Public Utilities
28,JAN,Public Utilities
29,VEON,Public Utilities
30,VIASP,Public Utilities
31,AQMS,Public Utilities
32,ECOL,Public Utilities
33,INFN,Public Utilities
34,DZSI,Public Utilities
35,CDZI,Public Utilities
36,CLNE,Public Utilities
37,AEP,Public Utilities
38,TMUS,Public Utilities
39,PESI,Public Utilities
40,IPLDP,Public Utilities
41,CNSL,Public Utilities
42,FKWL,Public Utilities
43,SMED,Public Utilities
44,AUDC,Public Utilities
45,VWTR,Public Utilities
46,SLNG,Public Utilities
47,NTGR,Public Utilities
48,PI,Public Utilities
49,PCYO,Public Utilities
50,ARTNA,Public Utilities
