,Symbol,Sector
0,NVEC,Technology
1,IQ,Technology
2,SSYS,Technology
3,TXN,Technology
4,VERB,Technology
5,OSPN,Technology
6,QUMU,Technology
7,KVHI,Technology
8,MYSZ,Technology
9,AXTI,Technology
10,QLYS,Technology
11,ADSK,Technology
12,DIOD,Technology
13,LSCC,Technology
14,WDC,Technology
15,TPIC,Technology
16,MDRX,Technology
17,CTLP,Technology
18,BIDU,Technology
19,CSGS,Technology
20,COUP,Technology
21,CHKP,Technology
22,PIXY,Technology
23,LPSN,Technology
24,MMYT,Technology
25,INTU,Technology
26,LASR,Technology
27,CYRN,Technology
28,PXLW,Technology
29,IPGP,Technology
30,UPLD,Technology
31,SGH,Technology
32,ATOM,Technology
33,PALT,Technology
34,RIOT,Technology
35,CEVA,Technology
36,INTC,Technology
37,PDFS,Technology
38,RCAT,Technology
39,HIMX,Technology
40,AWRE,Technology
41,HLIT,Technology
42,NVDA,Technology
43,SPSC,Technology
44,YNDX,Technology
45,PRTH,Technology
46,ENTG,Technology
47,RMBS,Technology
48,IZEA,Technology
49,AGMH,Technology
50,CRUS,Technology
51,TTEC,Technology
52,IPDN,Technology
53,CUEN,Technology
54,MNDO,Technology
55,MRVL,Technology
56,NUAN,Technology
57,CTG,Technology
58,CSPI,Technology
59,CVLT,Technology
60,USIO,Technology
61,MANT,Technology
62,ICHR,Technology
63,CTXS,Technology
64,SYNA,Technology
65,BEEM,Technology
66,MTLS,Technology
67,ANSS,Technology
68,MSFT,Technology
69,OKTA,Technology
70,GLG,Technology
71,JOBS,Technology
72,VRSN,Technology
73,PCYG,Technology
74,LOGI,Technology
75,GRPN,Technology
76,LFUS,Technology
77,ATVI,Technology
78,EA,Technology
79,CETX,Technology
80,XPER,Technology
81,AMD,Technology
82,MIME,Technology
83,EMKR,Technology
84,ERII,Technology
85,NXPI,Technology
86,SLAB,Technology
87,SEDG,Technology
88,PEGA,Technology
89,CCRN,Technology
90,RCII,Technology
91,RBBN,Technology
92,TSRI,Technology
93,DGII,Technology
94,VNET,Technology
95,DOX,Technology
96,ZS,Technology
97,ZD,Technology
98,UEPS,Technology
99,ACIW,Technology
100,VRNT,Technology
101,NICE,Technology
102,WB,Technology
103,MFH,Technology
104,STAF,Technology
105,ASUR,Technology
106,ULBI,Technology
107,SABR,Technology
108,VALU,Technology
109,ALTR,Technology
110,NXTP,Technology
111,RDCM,Technology
112,NTCT,Technology
113,CDLX,Technology
114,CSCO,Technology
115,ANTE,Technology
116,TRNS,Technology
117,ASYS,Technology
118,MDB,Technology
119,AMKR,Technology
120,CREX,Technology
121,WSTG,Technology
122,XELA,Technology
123,DUOT,Technology
124,QUIK,Technology
125,FORM,Technology
126,AMSWA,Technology
127,REKR,Technology
128,ICLK,Technology
129,SWKS,Technology
130,FRSX,Technology
131,OIIM,Technology
132,MCHP,Technology
133,CDNS,Technology
134,BILI,Technology
135,ZIXI,Technology
136,TRVG,Technology
137,ZBRA,Technology
138,WDAY,Technology
139,CYBR,Technology
140,MGIC,Technology
141,YY,Technology
142,EVOL,Technology
143,VRNS,Technology
144,HCKT,Technology
145,DBX,Technology
146,VECO,Technology
147,BOMN,Technology
148,SMTC,Technology
149,STX,Technology
150,IMMR,Technology
151,QMCO,Technology
152,AIRG,Technology
153,SILC,Technology
154,MSTR,Technology
155,INPX,Technology
156,XNET,Technology
157,ADI,Technology
158,TZOO,Technology
159,ADBE,Technology
160,CDK,Technology
161,SMCI,Technology
162,TTMI,Technology
163,MRIN,Technology
164,BSQR,Technology
165,WFCF,Technology
166,QNST,Technology
167,GILT,Technology
168,RBCN,Technology
169,NSIT,Technology
170,RPD,Technology
171,APPN,Technology
172,EGAN,Technology
173,EPAY,Technology
174,PLUS,Technology
175,PERI,Technology
176,QCOM,Technology
177,CASA,Technology
178,SPCB,Technology
179,BLKB,Technology
180,ISIG,Technology
181,OMQS,Technology
182,RNWK,Technology
183,SLP,Technology
184,FTFT,Technology
185,KELYB,Technology
186,HSON,Technology
187,SCWX,Technology
188,MIGI,Technology
189,SPNS,Technology
190,GSIT,Technology
191,PRGS,Technology
192,GTYH,Technology
193,MORN,Technology
194,TEAM,Technology
195,GOOG,Technology
196,SNPS,Technology
197,PLAB,Technology
198,DTSS,Technology
199,ZNGA,Technology
200,NTNX,Technology
201,AVGO,Technology
202,TRS,Technology
203,TACT,Technology
204,SANM,Technology
205,AVID,Technology
206,EVBG,Technology
207,CPSI,Technology
208,KELYA,Technology
209,WTRH,Technology
210,FSLR,Technology
211,NNDM,Technology
212,JKHY,Technology
213,ON,Technology
214,MTSI,Technology
215,III,Technology
216,SGLB,Technology
217,IDN,Technology
218,DMRC,Technology
219,PRFT,Technology
220,BBSI,Technology
221,SPWR,Technology
222,SEAC,Technology
223,OBLG,Technology
224,IDEX,Technology
225,SPLK,Technology
226,CTSH,Technology
227,AZPN,Technology
228,MU,Technology
229,RESN,Technology
230,CDW,Technology
231,BAND,Technology
232,ASML,Technology
233,CNXN,Technology
234,OSS,Technology
235,AOSL,Technology
236,BL,Technology
237,GDS,Technology
238,IMOS,Technology
239,LRCX,Technology
240,APPS,Technology
241,RDVT,Technology
242,PLXS,Technology
243,SRAX,Technology
244,MOSY,Technology
245,HEES,Technology
246,FISV,Technology
247,APPF,Technology
248,RDWR,Technology
249,NTWK,Technology
250,KLIC,Technology
251,SGMA,Technology
252,VIAV,Technology
253,TTWO,Technology
254,FORTY,Technology
255,MGRC,Technology
256,XRX,Technology
257,AAPL,Technology
258,SATS,Technology
259,TSEM,Technology
260,EXLS,Technology
261,KFRC,Technology
262,TAOP,Technology
263,BCOV,Technology
264,KTCC,Technology
265,NATI,Technology
266,NCMI,Technology
267,DTST,Technology
268,LITE,Technology
269,SIMO,Technology
270,BLIN,Technology
271,NTAP,Technology
272,BNFT,Technology
273,ALOT,Technology
274,SNCR,Technology
275,CVV,Technology
276,SOHU,Technology
277,TTD,Technology
278,OLB,Technology
279,AAOI,Technology
280,MICT,Technology
281,CRTO,Technology
282,AVT,Technology
283,PANW,Technology
284,SCKT,Technology
285,MPWR,Technology
286,MITK,Technology
287,STRM,Technology
288,RMNI,Technology
289,MOMO,Technology
290,FLEX,Technology
291,CCMP,Technology
292,WSC,Technology
293,ELTK,Technology
294,PTC,Technology
295,UCTT,Technology
296,ALRM,Technology
297,WIX,Technology
298,SMSI,Technology
299,SPI,Technology
300,TAIT,Technology
301,SSTI,Technology
302,CNET,Technology
303,ACLS,Technology
304,PCTY,Technology
305,TCX,Technology
306,CRNT,Technology
307,AMBA,Technology
308,FB,Technology
309,MGNI,Technology
310,MNDT,Technology
311,VERI,Technology
312,NLOK,Technology
313,SUNW,Technology
314,AUID,Technology
315,RSSS,Technology
316,SREV,Technology
317,GVP,Technology
318,AGYS,Technology
319,ITRN,Technology
320,OLED,Technology
321,GOOGL,Technology
322,COMM,Technology
323,LEDS,Technology
324,BOSC,Technology
325,SCSC,Technology
326,INOD,Technology
327,MRAM,Technology
328,XLNX,Technology
329,CETXP,Technology
330,ACMR,Technology
331,SSNC,Technology
332,HQI,Technology
333,SSNT,Technology
334,GIGM,Technology
335,QUBT,Technology
336,FFIV,Technology
337,CNDT,Technology
338,ERIC,Technology
339,PRAA,Technology
340,CMTL,Technology
341,FIVN,Technology
342,AEYE,Technology
343,EEFT,Technology
344,MANH,Technology
345,INVE,Technology
346,GBOX,Technology
347,RELL,Technology
348,PCTI,Technology
349,HSII,Technology
350,CLIR,Technology
351,AVCT,Technology
352,CLSK,Technology
353,POWI,Technology
354,CLRO,Technology
355,ANGI,Technology
356,ISUN,Technology
357,VSAT,Technology
