,Symbol,Sector
0,EXPD,Transportation
1,TOPS,Transportation
2,OMAB,Transportation
3,SAIA,Transportation
4,EXPE,Transportation
5,CVLG,Transportation
6,HA,Transportation
7,ODFL,Transportation
8,CHRW,Transportation
9,AAWW,Transportation
10,PSHG,Transportation
11,SBLK,Transportation
12,ALGT,Transportation
13,YELL,Transportation
14,CPLP,Transportation
15,PANL,Transportation
16,ULH,Transportation
17,HUBG,Transportation
18,SINO,Transportation
19,AIRT,Transportation
20,UAL,Transportation
21,BKNG,Transportation
22,JBLU,Transportation
23,PTSI,Transportation
24,WERN,Transportation
25,SKYW,Transportation
26,RYAAY,Transportation
27,CSX,Transportation
28,EGLE,Transportation
29,USAK,Transportation
30,ESEA,Transportation
31,SHIP,Transportation
32,GOGL,Transportation
33,ARCB,Transportation
34,FWRD,Transportation
35,HTLD,Transportation
36,GASS,Transportation
37,GLBS,Transportation
38,AAL,Transportation
39,LSTR,Transportation
40,PATI,Transportation
41,PXS,Transportation
42,JBHT,Transportation
43,MRTN,Transportation
